sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
SKM/NS/78A10/2017/204,27.638694,88.711694,2291.8,21.05,114.9,0.2235,,forest,2957.9,1,North Sikkim,,Slide,8400.0,0.013847,0.0,31.37
SKM/SS/78A07/2015/286,27.272056,88.394139,1037.0,29.04,132.11,0.0941,,forest,5317.1,1,South Sikkim,,Slide,4800.0,-0.007547,242.3,40.19
SKM/SS/78A08/2015/211,27.168167,88.384556,1544.6,35.1,251.96,0.0706,,built-up,4358.5,1,South Sikkim,,Slide,300.0,0.000663,236.9,50.92
NEG-0584,27.253518,88.466484,719.2,4.6,165.06,0.0,,forest,5646.8,0,,,,,-0.01644,650.5,16.87
 ,27.263528,88.190472,1045.0,34.8,358.08,0.0941,,forest,5768.4,1,West Sikkim,Initiation of slide in March 2022,,,0.002857,223.8,49.32
NEG-0154,27.294229,88.605597,969.4,30.09,296.07,0.1294,,forest,5380.1,0,,,,,0.005058,178.8,42.26
SKM/NS/78A04/2017/44,27.246944,88.184833,1633.8,34.59,343.59,0.1294,,forest,5988.0,1,West Sikkim,,Slide,1100.0,0.006294,124.7,50.7
NEG-0738,27.213674,88.564373,1183.7,29.32,143.69,0.0,,forest,4468.1,0,,,,,-0.006986,382.0,40.41
NEG-0576,27.327113,88.267498,869.6,28.29,6.12,0.2,,forest,4405.7,0,,,,,-0.024768,146.9,44.54
NEG-0430,27.281683,88.468712,1611.8,17.64,267.83,0.0,,forest,6040.8,0,,,,,-0.001462,264.5,23.31
NEG-0320,27.387535,88.803275,4047.3,14.69,247.37,0.2353,,grassland,3520.6,0,,,,,0.007184,158.3,20.37
NEG-0110,27.102017,88.434762,902.8,22.59,54.02,0.0,,forest,3741.8,0,,,,,0.014428,489.1,32.53
NEG-0507,27.225493,88.742861,1442.4,38.51,186.83,0.1647,,forest,4368.1,0,,,,,-0.001364,223.8,57.45
NEG-0720,27.318414,88.441748,902.0,23.59,63.03,0.0,,forest,6910.8,0,,,,,-0.001566,411.4,30.98
NEG-0221,27.168855,88.201844,1597.3,18.79,250.56,0.0,,built-up,6372.8,0,,,,,0.002248,500.5,24.79
NEG-0652,27.343859,88.466805,937.9,9.04,95.08,0.0118,,forest,7308.3,0,,,,,-0.001281,242.3,11.62
NEG-0736,27.150847,88.420243,1247.2,35.48,185.34,0.1176,,forest,4111.2,0,,,,,0.005673,166.2,51.33
SKM/NS/78A03/2017/22,27.281444,88.187833,1741.4,31.44,97.29,0.0,,forest,5572.3,1,West Sikkim,,Slide,21.0,0.005986,409.3,43.71
SKM/NS/78A03/2017/50,27.339806,88.227361,1185.3,37.65,99.2,0.0,,forest,4612.3,1,West Sikkim,,Slide,240.0,0.00155,302.6,55.05
SKM/NS/78A10/2017/179,27.535056,88.610194,1430.8,37.78,283.5,0.0,,forest,5781.5,1,North Sikkim,,Slide,3000.0,-0.009848,457.2,57.73
SKM/NS/78A11/2015/05,27.418472,88.616083,1400.4,17.83,190.95,0.0,,forest,6004.6,1,North Sikkim,,Slide,48.0,0.008677,474.8,25.78
SKM/WS/78A08/2015/369,27.219917,88.276306,1539.9,37.92,153.36,0.0,,forest,4047.6,1,West Sikkim,,Slide,1125.0,-0.000966,681.6,56.0
SKM/NS/78A04/2017/117,27.158972,88.090944,2194.8,32.91,316.77,0.1176,,forest,3914.8,1,West Sikkim,,Slide,900.0,-0.002888,211.9,47.56
